10
10 2
96 94 90
89 84 92
75 69 68
90 90 70
96 92 92
99 100 98
98 93 98
84 83 82
100 99 100
80 91 99
99 96 93
89 100 94
93 95 90
89 86 95
95 98 98
58 91 71
75 79 99
83 89 70
96 92 97
62 98 97
97 91 90
96 81 66
83 77 91
92 86 91
99 99 100
90 86 95
96 76 78
92 98 74
90 88 90
58 81 66
96 94 85
100 92 93
74 65 65
79 82 74
95 88 70
99 99 99
98 99 82
84 83 88
59 87 100
95 88 94
86 85 94
97 70 71
82 77 91
95 90 94
88 67 62
74 77 74
68 75 85
84 73 98
71 56 72
99 98 99
93 96 98
59 75 89
70 72 59
97 59 79
90 90 94
92 99 86
75 95 98
